id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,umpire1,umpire2,result_margin_zscore
392198,2009,6,2009-04-28,League,YK Pathan,53,3,13,3,bat,14,wickets,5.0,144.0,20.0,N,GAV Baxter,RE Koertzen,-0.5510198777093691
392199,2009,13,2009-04-29,League,MV Boucher,22,16,8,8,bat,17,wickets,5.0,140.0,20.0,N,MR Benson,TH Wijewardene,-0.5510198777093691
392200,2009,13,2009-04-29,League,KC Sangakkara,22,6,10,6,bat,6,runs,3.0,120.0,20.0,N,MR Benson,SL Shastri,-0.6431650771735963
392201,2009,6,2009-04-30,League,DP Nannes,53,1,3,3,field,3,wickets,6.0,149.0,20.0,N,GAV Baxter,AM Saheba,-0.5049472779772556
392202,2009,6,2009-04-30,League,SK Raina,53,0,13,13,field,0,runs,38.0,165.0,20.0,N,GAV Baxter,RE Koertzen,0.9693759134503785
392203,2009,14,2009-05-01,League,JP Duminy,7,8,10,10,bat,10,runs,9.0,149.0,20.0,N,M Erasmus,SK Tarapore,-0.36672947878091483
392204,2009,13,2009-05-01,League,Yuvraj Singh,22,16,6,16,bat,17,runs,8.0,146.0,20.0,N,HDPK Dharmasena,S Ravi,-0.4128020785130284
392205,2009,29,2009-05-02,League,YK Pathan,51,1,13,1,bat,14,wickets,3.0,142.0,20.0,N,S Asnani,BG Jerling,-0.6431650771735963
392206,2009,19,2009-05-02,League,SB Jakati,34,0,3,3,field,0,runs,18.0,164.0,20.0,N,DJ Harper,RE Koertzen,0.04792391880810724
392207,2009,29,2009-05-03,League,DPMD Jayawardene,51,6,8,8,bat,6,wickets,6.0,154.0,20.0,N,S Asnani,MR Benson,-0.5049472779772556
392208,2009,19,2009-05-03,League,JH Kallis,34,16,10,10,bat,17,wickets,9.0,150.0,20.0,N,RE Koertzen,TH Wijewardene,-0.36672947878091483
392209,2009,14,2009-05-04,League,MS Dhoni,7,0,1,0,bat,0,runs,78.0,179.0,20.0,N,BR Doctrove,M Erasmus,2.812279902734921
392210,2009,13,2009-05-05,League,GC Smith,22,6,13,6,field,14,runs,78.0,212.0,20.0,N,SS Hazare,IL Howell,2.812279902734921
392211,2009,13,2009-05-05,League,G Gambhir,22,3,8,8,bat,3,wickets,9.0,155.0,20.0,N,GAV Baxter,IL Howell,-0.36672947878091483
392212,2009,6,2009-05-06,League,RG Sharma,53,1,10,1,bat,1,runs,19.0,146.0,20.0,N,MR Benson,HDPK Dharmasena,0.0939965185402208
392213,2009,6,2009-05-07,League,A Singh,53,16,13,13,field,14,wickets,7.0,106.0,20.0,N,K Hariharan,DJ Harper,-0.458874678245142
392214,2009,6,2009-05-07,League,ML Hayden,53,0,6,0,bat,0,runs,12.0,187.0,18.0,N,DJ Harper,TH Wijewardene,-0.22851167958457416
392215,2009,14,2009-05-08,League,A Nehra,7,3,10,10,bat,3,wickets,7.0,117.0,20.0,N,M Erasmus,SK Tarapore,-0.458874678245142
392216,2009,21,2009-05-09,League,DPMD Jayawardene,8,1,6,6,field,6,wickets,3.0,169.0,20.0,N,GAV Baxter,AM Saheba,-0.6431650771735963
392217,2009,21,2009-05-09,League,S Badrinath,8,0,13,13,bat,0,wickets,7.0,141.0,20.0,N,GAV Baxter,HDPK Dharmasena,-0.458874678245142
392218,2009,29,2009-05-10,League,JP Duminy,51,16,10,10,bat,10,runs,16.0,158.0,20.0,N,BR Doctrove,BG Jerling,-0.044221280656119896
392219,2009,19,2009-05-10,League,A Mishra,34,3,8,3,field,3,wickets,7.0,124.0,20.0,N,SL Shastri,RB Tiffin,-0.458874678245142
392220,2009,21,2009-05-11,League,DR Smith,8,1,13,1,bat,1,runs,53.0,167.0,20.0,N,GAV Baxter,HDPK Dharmasena,1.6604649094320818
392221,2009,6,2009-05-12,League,LRPL Taylor,53,16,8,16,field,17,wickets,6.0,174.0,20.0,N,M Erasmus,SS Hazare,-0.5049472779772556
392222,2009,6,2009-05-12,League,Harbhajan Singh,53,6,10,6,bat,10,wickets,8.0,120.0,20.0,N,SS Hazare,RE Koertzen,-0.4128020785130284
392223,2009,13,2009-05-13,League,R Bhatia,22,1,3,1,field,3,runs,12.0,174.0,20.0,N,DJ Harper,SL Shastri,-0.22851167958457416
392224,2009,13,2009-05-14,League,LRPL Taylor,22,16,0,0,bat,17,wickets,2.0,130.0,20.0,N,BR Doctrove,DJ Harper,-0.6892376769057098
392225,2009,13,2009-05-14,League,SK Warne,22,10,13,13,bat,14,runs,2.0,146.0,20.0,N,BR Doctrove,DJ Harper,-0.6892376769057098
392226,2009,4,2009-05-15,League,B Lee,36,3,6,6,field,6,wickets,6.0,121.0,20.0,N,HDPK Dharmasena,IL Howell,-0.5049472779772556
392227,2009,29,2009-05-16,League,ML Hayden,51,0,10,10,bat,0,wickets,7.0,148.0,20.0,N,SK Tarapore,SJA Taufel,-0.458874678245142
392228,2009,19,2009-05-16,League,RG Sharma,34,1,8,1,field,1,wickets,6.0,161.0,20.0,N,RE Koertzen,S Ravi,-0.5049472779772556
